Name,Address,State,County,Phone,Email,Website,Category,Facility_Type,Feedstock,Latitude,Longitude,NAICS_Code
Being Alive Harm Reduction Center,"7976 Santa Monica Blvd, West Hollywood, CA 90046",California,Los Angeles,323-848-4445,,https://beingalivela.org,Sharps Disposal,Sharps Collection Site,"Needles, Syringes, Lancets, Sharps",34.0906,-118.3643,562112
North Hollywood Health Center,"5300 Tujunga Ave, North Hollywood, CA 91601",California,Los Angeles,818-766-3982,,,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",34.1878,-118.3869,562112
Glendale Environmental Management Center,"780 Flower St, Glendale, CA 91201",California,Los Angeles,818-548-3916,,https://www.glendaleca.gov,Sharps Disposal,Municipal Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",34.1478,-118.2606,562112
Central Health Center,"241 N Figueroa St, Los Angeles, CA 90012",California,Los Angeles,213-240-8144,,,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",34.0623,-118.2456,562112
Curtis R. Tucker Health Center,"123 W Manchester Blvd, Inglewood, CA 90301",California,Los Angeles,310-419-5325,,,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",33.9606,-118.3533,562112
Randall Street S.A.F.E. Collection Center,"11025 Randall St, Sun Valley, CA 91352",California,Los Angeles,800-773-2489,,https://dpw.lacounty.gov/epd/safe,Sharps Disposal,Municipal Collection,"Needles, Syringes, Lancets, Sharps, Household Hazardous Waste",34.2276,-118.3847,562112
Washington Blvd. S.A.F.E. Collection Center,"2649 E Washington Blvd, Los Angeles, CA 90021",California,Los Angeles,800-773-2489,,https://dpw.lacounty.gov/epd/safe,Sharps Disposal,Municipal Collection,"Needles, Syringes, Lancets, Sharps, Household Hazardous Waste",34.0215,-118.2194,562112
CVS Pharmacy - Beverly Hills,"9001 Wilshire Blvd, Beverly Hills, CA 90210",California,Los Angeles,310-278-8800,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",34.0695,-118.3916,446110
Walgreens - West Hollywood,"8490 Santa Monica Blvd, West Hollywood, CA 90069",California,Los Angeles,323-656-8820,,https://www.walgreens.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",34.0897,-118.3794,446110
NYC Department of Sanitation - Manhattan Drop-Off,"343 E 99th St, New York, NY 10029",New York,New York,311,,,Sharps Disposal,Municipal Collection,"Needles, Syringes, Lancets, Sharps",40.7883,-73.9455,562112
Harlem Hospital Center,"506 Lenox Ave, New York, NY 10037",New York,New York,212-939-1000,,https://www.nychealthandhospitals.org/harlem,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",40.8151,-73.9398,622110
Bellevue Hospital Center,"462 1st Ave, New York, NY 10016",New York,New York,212-562-4141,,https://www.nychealthandhospitals.org/bellevue,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",40.7392,-73.9754,622110
CVS Pharmacy - Midtown Manhattan,"750 Lexington Ave, New York, NY 10022",New York,New York,212-371-5720,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",40.7622,-73.9686,446110
Walgreens - Times Square,"1501 Broadway, New York, NY 10036",New York,New York,212-840-3255,,https://www.walgreens.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",40.7569,-73.9862,446110
Houston Health Department - Northside,"8504 Schuller Rd, Houston, TX 77093",Texas,Harris,832-393-5100,,https://www.houstontx.gov/health,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",29.8544,-95.3344,562112
Harris County Public Health - Baytown,"1300 Baker Rd, Baytown, TX 77521",Texas,Harris,281-427-8536,,https://publichealth.harriscountytx.gov,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",29.7544,-94.9769,562112
CVS Pharmacy - Houston Galleria,"5015 Westheimer Rd, Houston, TX 77056",Texas,Harris,713-960-8075,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",29.7383,-95.4622,446110
Walgreens - Houston Medical Center,"6560 Fannin St, Houston, TX 77030",Texas,Harris,713-795-4471,,https://www.walgreens.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",29.7097,-95.3978,446110
Chicago Department of Public Health,"333 S State St, Chicago, IL 60604",Illinois,Cook,312-747-9884,,https://www.chicago.gov/city/en/depts/cdph.html,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",41.8773,-87.6278,562112
Northwestern Medicine - Chicago,"251 E Huron St, Chicago, IL 60611",Illinois,Cook,312-926-2000,,https://www.nm.org,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",41.8949,-87.6215,622110
CVS Pharmacy - Chicago Loop,"1 N State St, Chicago, IL 60602",Illinois,Cook,312-917-9920,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",41.8822,-87.6278,446110
Walgreens - Chicago Magnificent Mile,"757 N Michigan Ave, Chicago, IL 60611",Illinois,Cook,312-664-8686,,https://www.walgreens.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",41.8962,-87.6244,446110
Phoenix Public Health - Central,"4041 N Central Ave, Phoenix, AZ 85012",Arizona,Maricopa,602-506-6900,,https://www.maricopa.gov/5302/Public-Health,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",33.4978,-112.0733,562112
Banner University Medical Center,"1111 E McDowell Rd, Phoenix, AZ 85006",Arizona,Maricopa,602-839-2000,,https://www.bannerhealth.com,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",33.4651,-112.0567,622110
CVS Pharmacy - Phoenix Biltmore,"2502 E Camelback Rd, Phoenix, AZ 85016",Arizona,Maricopa,602-955-3393,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",33.5094,-112.0306,446110
Philadelphia Department of Public Health,"1101 Market St, Philadelphia, PA 19107",Pennsylvania,Philadelphia,215-685-5488,,https://www.phila.gov/departments/department-of-public-health,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",39.9519,-75.1583,562112
Penn Medicine - Hospital of the University of Pennsylvania,"3400 Spruce St, Philadelphia, PA 19104",Pennsylvania,Philadelphia,215-662-4000,,https://www.pennmedicine.org,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",39.9497,-75.1936,622110
CVS Pharmacy - Center City Philadelphia,"1826 Chestnut St, Philadelphia, PA 19103",Pennsylvania,Philadelphia,215-972-0909,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",39.9511,-75.1711,446110
San Antonio Metro Health District,"332 W Commerce St, San Antonio, TX 78205",Texas,Bexar,210-207-8780,,https://www.sanantonio.gov/health,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",29.4241,-98.4936,562112
University Health - San Antonio,"4502 Medical Dr, San Antonio, TX 78229",Texas,Bexar,210-358-4000,,https://www.universityhealthsystem.com,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",29.5094,-98.5722,622110
CVS Pharmacy - San Antonio Alamo Heights,"5800 Broadway, San Antonio, TX 78209",Texas,Bexar,210-826-7121,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",29.4839,-98.4647,446110
San Diego County Health - Central,"3851 Rosecrans St, San Diego, CA 92110",California,San Diego,619-692-8499,,https://www.sandiegocounty.gov/hhsa,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",32.7558,-117.2119,562112
UC San Diego Health,"200 W Arbor Dr, San Diego, CA 92103",California,San Diego,619-543-6222,,https://health.ucsd.edu,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",32.7544,-117.1678,622110
CVS Pharmacy - La Jolla,"7514 Girard Ave, La Jolla, CA 92037",California,San Diego,858-459-4284,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",32.8458,-117.2756,446110
Dallas County Health - Oak Cliff,"944 E Ledbetter Dr, Dallas, TX 75216",Texas,Dallas,214-819-2100,,https://www.dallascounty.org/departments/dchhs,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",32.7119,-96.7856,562112
Parkland Health - Dallas,"5200 Harry Hines Blvd, Dallas, TX 75235",Texas,Dallas,214-590-8000,,https://www.parklandhealth.org,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",32.8117,-96.8394,622110
CVS Pharmacy - Dallas Uptown,"3131 McKinney Ave, Dallas, TX 75204",Texas,Dallas,214-220-0135,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",32.8006,-96.7978,446110
San Jose Environmental Services,"1608 Las Plumas Ave, San Jose, CA 95133",California,Santa Clara,408-535-3500,,https://www.sanjoseca.gov/your-government/departments-offices/environmental-services,Sharps Disposal,Municipal Collection,"Needles, Syringes, Lancets, Sharps, Household Hazardous Waste",37.3644,-121.8658,562112
Santa Clara Valley Medical Center,"751 S Bascom Ave, San Jose, CA 95128",California,Santa Clara,408-885-5000,,https://www.scvmc.org,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",37.3119,-121.9317,622110
CVS Pharmacy - San Jose Downtown,"99 E San Fernando St, San Jose, CA 95113",California,Santa Clara,408-998-0687,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",37.3361,-121.8889,446110
Austin Public Health,"7201 Levander Loop, Austin, TX 78702",Texas,Travis,512-972-5000,,https://www.austintexas.gov/department/austin-public-health,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",30.2628,-97.7106,562112
Dell Seton Medical Center,"1500 Red River St, Austin, TX 78701",Texas,Travis,512-324-7000,,https://www.seton.net,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",30.2761,-97.7333,622110
CVS Pharmacy - Austin Downtown,"1201 S Congress Ave, Austin, TX 78704",Texas,Travis,512-442-0711,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",30.2511,-97.7489,446110
Jacksonville Environmental Quality,"1031 Superior St, Jacksonville, FL 32254",Florida,Duval,904-255-7100,,https://www.coj.net/departments/environmental-quality,Sharps Disposal,Municipal Collection,"Needles, Syringes, Lancets, Sharps, Household Hazardous Waste",30.3419,-81.6908,562112
UF Health Jacksonville,"655 W 8th St, Jacksonville, FL 32209",Florida,Duval,904-244-0411,,https://ufhealthjax.org,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",30.3522,-81.6672,622110
CVS Pharmacy - Jacksonville Beach,"1500 Beach Blvd, Jacksonville Beach, FL 32250",Florida,Duval,904-249-5877,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",30.2894,-81.3983,446110
Fort Worth Environmental Management,"4400 Columbus Trail, Fort Worth, TX 76133",Texas,Tarrant,817-392-5150,,https://www.fortworthtexas.gov/departments/code-compliance/environmental-management,Sharps Disposal,Municipal Collection,"Needles, Syringes, Lancets, Sharps, Household Hazardous Waste",32.6658,-97.3817,562112
JPS Health Network,"1500 S Main St, Fort Worth, TX 76104",Texas,Tarrant,817-921-3431,,https://www.jpshealthnet.org,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",32.7369,-97.3308,622110
CVS Pharmacy - Fort Worth Sundance Square,"420 Throckmorton St, Fort Worth, TX 76102",Texas,Tarrant,817-335-1478,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",32.7533,-97.3308,446110
Columbus Public Health,"240 Parsons Ave, Columbus, OH 43215",Ohio,Franklin,614-645-7417,,https://www.columbus.gov/publichealth,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",39.9572,-82.9878,562112
Ohio State University Wexner Medical Center,"410 W 10th Ave, Columbus, OH 43210",Ohio,Franklin,614-293-8000,,https://wexnermedical.osu.edu,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",39.9944,-83.0194,622110
CVS Pharmacy - Columbus Short North,"1059 N High St, Columbus, OH 43201",Ohio,Franklin,614-294-2194,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",39.9833,-83.0044,446110
Indianapolis Marion County Health,"3838 N Rural St, Indianapolis, IN 46205",Indiana,Marion,317-221-2000,,https://www.marionhealth.org,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",39.8319,-86.1247,562112
IU Health Methodist Hospital,"1701 N Senate Blvd, Indianapolis, IN 46202",Indiana,Marion,317-962-2000,,https://iuhealth.org/find-locations/iu-health-methodist-hospital,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",39.7894,-86.1672,622110
CVS Pharmacy - Indianapolis Downtown,"141 E Washington St, Indianapolis, IN 46204",Indiana,Marion,317-635-5893,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",39.7683,-86.1556,446110
Charlotte Mecklenburg Solid Waste,"600 N Davidson St, Charlotte, NC 28202",North Carolina,Mecklenburg,704-336-7600,,https://www.charlottenc.gov/Streets-and-Neighborhoods/Trash-and-Recycling,Sharps Disposal,Municipal Collection,"Needles, Syringes, Lancets, Sharps, Household Hazardous Waste",35.2356,-80.8378,562112
Atrium Health Carolinas Medical Center,"1000 Blythe Blvd, Charlotte, NC 28203",North Carolina,Mecklenburg,704-355-2000,,https://atriumhealth.org,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",35.2078,-80.8444,622110
CVS Pharmacy - Charlotte Uptown,"227 W Trade St, Charlotte, NC 28202",North Carolina,Mecklenburg,704-375-8881,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",35.2278,-80.8433,446110
Seattle King County Public Health,"401 5th Ave, Seattle, WA 98104",Washington,King,206-296-4600,,https://kingcounty.gov/depts/health.aspx,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",47.6033,-122.3294,562112
Harborview Medical Center,"325 9th Ave, Seattle, WA 98104",Washington,King,206-744-3000,,https://www.uwmedicine.org/locations/harborview-medical-center,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",47.6044,-122.3244,622110
CVS Pharmacy - Seattle Capitol Hill,"1407 Broadway, Seattle, WA 98122",Washington,King,206-323-3555,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",47.6139,-122.3206,446110
Denver Environmental Health,"200 W 14th Ave, Denver, CO 80204",Colorado,Denver,720-913-1311,,https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Public-Health-Environment,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",39.7378,-104.9928,562112
Denver Health Medical Center,"777 Bannock St, Denver, CO 80204",Colorado,Denver,303-436-6000,,https://www.denverhealth.org,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",39.7297,-104.9906,622110
CVS Pharmacy - Denver LoDo,"1600 Champa St, Denver, CO 80202",Colorado,Denver,303-825-0222,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",39.7478,-104.9944,446110
Washington DC Health,"899 N Capitol St NE, Washington, DC 20002",District of Columbia,District of Columbia,202-442-5955,,https://dchealth.dc.gov,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",38.9033,-77.0078,562112
MedStar Washington Hospital Center,"110 Irving St NW, Washington, DC 20010",District of Columbia,District of Columbia,202-877-7000,,https://www.medstarhealth.org/medstar-washington-hospital-center,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",38.9294,-77.0156,622110
CVS Pharmacy - Washington DC Dupont Circle,"1199 Connecticut Ave NW, Washington, DC 20036",District of Columbia,District of Columbia,202-785-1466,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",38.9067,-77.0422,446110
Boston Public Health Commission,"1010 Massachusetts Ave, Boston, MA 02118",Massachusetts,Suffolk,617-534-5395,,https://www.boston.gov/departments/public-health-commission,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",42.3339,-71.0717,562112
Massachusetts General Hospital,"55 Fruit St, Boston, MA 02114",Massachusetts,Suffolk,617-726-2000,,https://www.massgeneral.org,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",42.3631,-71.0686,622110
CVS Pharmacy - Boston Downtown Crossing,"587 Washington St, Boston, MA 02111",Massachusetts,Suffolk,617-338-5454,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",42.3556,-71.0606,446110
El Paso City-County Health,"5115 El Paso Dr, El Paso, TX 79905",Texas,El Paso,915-212-6000,,https://www.elpasotexas.gov/public-health,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",31.7619,-106.4344,562112
University Medical Center of El Paso,"4815 Alameda Ave, El Paso, TX 79905",Texas,El Paso,915-521-7602,,https://www.umcelpaso.org,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",31.7619,-106.4344,622110
CVS Pharmacy - El Paso Westside,"5900 N Mesa St, El Paso, TX 79912",Texas,El Paso,915-581-4444,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",31.8494,-106.5306,446110
Nashville Metro Public Health,"311 23rd Ave N, Nashville, TN 37203",Tennessee,Davidson,615-340-5616,,https://www.nashville.gov/departments/health,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",36.1569,-86.8028,562112
Vanderbilt University Medical Center,"1211 Medical Center Dr, Nashville, TN 37232",Tennessee,Davidson,615-322-5000,,https://www.vumc.org,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",36.1417,-86.8006,622110
CVS Pharmacy - Nashville Downtown,"424 Church St, Nashville, TN 37219",Tennessee,Davidson,615-255-4357,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",36.1633,-86.7789,446110
Detroit Health Department,"100 Mack Ave, Detroit, MI 48201",Michigan,Wayne,313-876-4000,,https://detroitmi.gov/departments/detroit-health-department,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",42.3456,-83.0544,562112
Henry Ford Hospital,"2799 W Grand Blvd, Detroit, MI 48202",Michigan,Wayne,313-916-2600,,https://www.henryford.com,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",42.3678,-83.0856,622110
CVS Pharmacy - Detroit Midtown,"4201 Woodward Ave, Detroit, MI 48201",Michigan,Wayne,313-831-0700,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",42.3528,-83.0617,446110
Oklahoma City-County Health,"2600 NE 63rd St, Oklahoma City, OK 73111",Oklahoma,Oklahoma,405-425-4437,,https://www.occhd.org,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",35.5244,-97.4789,562112
OU Health University of Oklahoma Medical Center,"700 NE 13th St, Oklahoma City, OK 73104",Oklahoma,Oklahoma,405-271-4700,,https://www.ouhealth.com,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",35.4833,-97.4944,622110
CVS Pharmacy - Oklahoma City Bricktown,"1 E Sheridan Ave, Oklahoma City, OK 73104",Oklahoma,Oklahoma,405-236-0000,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",35.4656,-97.5094,446110
Portland Multnomah County Health,"619 NW 6th Ave, Portland, OR 97209",Oregon,Multnomah,503-988-3674,,https://www.multco.us/health,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",45.5278,-122.6783,562112
OHSU Hospital,"3181 SW Sam Jackson Park Rd, Portland, OR 97239",Oregon,Multnomah,503-494-8311,,https://www.ohsu.edu/hospital,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",45.4994,-122.6856,622110
CVS Pharmacy - Portland Pearl District,"1231 NW Hoyt St, Portland, OR 97209",Oregon,Multnomah,503-222-4701,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",45.5289,-122.6833,446110
Las Vegas Southern Nevada Health District,"280 S Decatur Blvd, Las Vegas, NV 89107",Nevada,Clark,702-759-1000,,https://www.southernnevadahealthdistrict.org,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",36.1658,-115.2094,562112
University Medical Center of Southern Nevada,"1800 W Charleston Blvd, Las Vegas, NV 89102",Nevada,Clark,702-383-2000,,https://www.umcsn.com,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",36.1583,-115.1656,622110
CVS Pharmacy - Las Vegas Strip,"3758 Las Vegas Blvd S, Las Vegas, NV 89109",Nevada,Clark,702-262-9024,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",36.1144,-115.1728,446110
Louisville Metro Public Health,"400 E Gray St, Louisville, KY 40202",Kentucky,Jefferson,502-574-6520,,https://louisvilleky.gov/government/public-health-wellness,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",38.2456,-85.7533,562112
UofL Health - University of Louisville Hospital,"530 S Jackson St, Louisville, KY 40202",Kentucky,Jefferson,502-562-3000,,https://uoflhealth.org,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",38.2444,-85.7489,622110
CVS Pharmacy - Louisville Downtown,"101 S 4th St, Louisville, KY 40202",Kentucky,Jefferson,502-584-3185,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",38.2561,-85.7589,446110
Baltimore City Health Department,"1001 E Fayette St, Baltimore, MD 21202",Maryland,Baltimore City,410-396-4398,,https://health.baltimorecity.gov,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",39.2906,-76.6028,562112
Johns Hopkins Hospital,"1800 Orleans St, Baltimore, MD 21287",Maryland,Baltimore City,410-955-5000,,https://www.hopkinsmedicine.org/the-johns-hopkins-hospital,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",39.2967,-76.5922,622110
CVS Pharmacy - Baltimore Inner Harbor,"201 E Pratt St, Baltimore, MD 21202",Maryland,Baltimore City,410-332-0040,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",39.2867,-76.6117,446110
Milwaukee Health Department,"841 N Broadway, Milwaukee, WI 53202",Wisconsin,Milwaukee,414-286-3521,,https://city.milwaukee.gov/health,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",43.0444,-87.9089,562112
Froedtert Hospital,"9200 W Wisconsin Ave, Milwaukee, WI 53226",Wisconsin,Milwaukee,414-805-3000,,https://www.froedtert.com,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",43.0439,-88.0306,622110
CVS Pharmacy - Milwaukee Downtown,"626 E Wisconsin Ave, Milwaukee, WI 53202",Wisconsin,Milwaukee,414-276-2323,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",43.0389,-87.9067,446110
Albuquerque Environmental Health,"One Civic Plaza NW, Albuquerque, NM 87102",New Mexico,Bernalillo,505-768-2600,,https://www.cabq.gov/environmentalhealth,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",35.0844,-106.6506,562112
UNM Hospital,"2211 Lomas Blvd NE, Albuquerque, NM 87106",New Mexico,Bernalillo,505-272-2111,,https://hospitals.health.unm.edu,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",35.0867,-106.6194,622110
CVS Pharmacy - Albuquerque Uptown,"2240 Louisiana Blvd NE, Albuquerque, NM 87110",New Mexico,Bernalillo,505-883-0992,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",35.1094,-106.5844,446110
Tucson Pima County Health,"3950 S Country Club Rd, Tucson, AZ 85714",Arizona,Pima,520-724-7770,,https://webcms.pima.gov/government/health_department,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",32.1778,-110.9494,562112
Banner University Medical Center Tucson,"1501 N Campbell Ave, Tucson, AZ 85724",Arizona,Pima,520-694-0111,,https://www.bannerhealth.com,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",32.2411,-110.9456,622110
CVS Pharmacy - Tucson Foothills,"6464 N Oracle Rd, Tucson, AZ 85704",Arizona,Pima,520-742-7144,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",32.3128,-110.9728,446110
Fresno County Public Health,"1221 Fulton St, Fresno, CA 93721",California,Fresno,559-600-3200,,https://www.co.fresno.ca.us/departments/public-health,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",36.7378,-119.7872,562112
Community Regional Medical Center,"2823 Fresno St, Fresno, CA 93721",California,Fresno,559-459-6000,,https://www.communitymedical.org,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",36.7394,-119.7806,622110
CVS Pharmacy - Fresno Fig Garden,"5090 N Palm Ave, Fresno, CA 93704",California,Fresno,559-222-4401,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",36.8111,-119.8028,446110
Sacramento County Public Health,"7001 East Parkway, Sacramento, CA 95823",California,Sacramento,916-875-5881,,https://www.saccounty.gov/Government/Departments/DHS/Pages/default.aspx,Sharps Disposal,Health Department,"Needles, Syringes, Lancets, Sharps",38.4806,-121.4428,562112
UC Davis Medical Center,"2315 Stockton Blvd, Sacramento, CA 95817",California,Sacramento,916-734-2011,,https://health.ucdavis.edu,Sharps Disposal,Hospital Collection,"Needles, Syringes, Lancets, Sharps, Medical Waste",38.5539,-121.4561,622110
CVS Pharmacy - Sacramento Midtown,"1820 J St, Sacramento, CA 95811",California,Sacramento,916-444-0810,,https://www.cvs.com,Sharps Disposal,Pharmacy Take-Back,"Needles, Syringes, Lancets, Sharps Containers",38.5756,-121.4856,446110
